ANNEE,channel_name,male_duration,female_duration
2015,Animaux,1645238,956988
2015,ARTE,3123603,1231907
2015,BFM TV,3501573,1773802
2015,Canal+,3339791,916718
2015,Canal+ Sport,2761056,142649
2015,Chérie 25,2534101,1509401
2015,Chérie FM,631373,663166
2015,Chasse et pêche,2148307,216361
2015,Comédie+,1684000,711369
2015,D8/C8,3382933,1284745
2015,Euronews,1753954,960869
2015,Europe 1,3598045,1699513
2015,Eurosport France,4489886,379935
2015,France 2,3025327,1717379
2015,France 24,2894130,2315673
2015,France 3,3102898,1337863
2015,France 5,3291218,1541184
2015,France Bleu,2241276,1195331
2015,France Culture,3610380,1631197
2015,France Info,3799123,1645122
2015,France Inter,3004802,1581309
2015,France Musique,1199424,437966
2015,France O,3003446,1390224
2015,Fun Radio,1040935,405540
2015,Histoire,3714176,965180
2015,I-Télé/CNews,3395107,1843796
2015,La chaîne Météo,2294356,361594
2015,LCI,3336574,1947912
2015,LCP/Public Sénat,3761883,1688567
2015,L'Equipe 21,4296522,739241
2015,M6,2570491,1759714
2015,Monte Carlo TMC,2985711,1207435
2015,MOUV,643115,353368
2015,Nostalgie,745523,459344
2015,NRJ,1356190,508988
2015,NRJ 12,2746073,1356225
2015,Paris Première,1913488,509177
2015,Planète+,2291416,432855
2015,Radio Classique,1114657,619544
2015,RFI,3345856,1711783
2015,RFM,617849,296034
2015,Rire et Chansons,2898889,1035200
2015,RMC,4638882,995447
2015,RTL,3488314,1419489
2015,RTL 2,513300,415116
2015,Skyrock,1679021,308046
2015,Sud Radio,3190370,1295608
2015,Téva,2022835,2123244
2015,TF1,2844901,1555343
2015,Toute l'Histoire,2178725,567246
2015,TV Breizh,1700711,834209
2015,TV5 Monde,1869065,785390
2015,Virgin Radio,910589,350977
2016,Animaux,1634839,942338
2016,ARTE,3164116,1246289
2016,BFM TV,3326119,1841251
2016,Canal+,3321179,942185
2016,Canal+ Sport,2845340,144663
2016,Chérie 25,2445623,1759206
2016,Chérie FM,605165,634178
2016,Chasse et pêche,2204722,172565
2016,Comédie+,1768249,705293
2016,D8/C8,3467974,1228273
2016,Euronews,1714132,768604
2016,Europe 1,3389069,1741753
2016,Eurosport France,4509047,392737
2016,France 2,3122096,1602729
2016,France 24,2792947,2372846
2016,France 3,3149119,1525578
2016,France 5,3277295,1724244
2016,France Bleu,2026996,1248215
2016,France Culture,3785565,1830181
2016,France Info,3910029,1688116
2016,France Inter,3079026,1565628
2016,France Musique,1079564,511759
2016,France O,3147853,1415996
2016,Fun Radio,990605,526878
2016,Histoire,4032507,775803
2016,I-Télé/CNews,3527299,1793215
2016,La chaîne Météo,2250405,395740
2016,LCI,3510297,1885496
2016,LCP/Public Sénat,3777666,1644435
2016,L'Equipe 21,4729000,519137
2016,M6,2621892,1838931
2016,Monte Carlo TMC,2933446,1220734
2016,MOUV,676694,320761
2016,Nostalgie,748343,481719
2016,NRJ,1420215,529194
2016,NRJ 12,2821479,1448634
2016,Paris Première,1876543,545368
2016,Planète+,2145703,435923
2016,Radio Classique,1130984,642432
2016,RFI,3490405,1854570
2016,RFM,654968,332059
2016,Rire et Chansons,3144646,1144369
2016,RMC,4642658,950180
2016,RTL,3400802,1325342
2016,RTL 2,581090,417318
2016,Skyrock,1738632,293536
2016,Sud Radio,3129482,1466465
2016,Téva,1244613,1317935
2016,TF1,2872105,1715236
2016,Toute l'Histoire,2331950,524647
2016,TV Breizh,1706619,806979
2016,TV5 Monde,1951500,885484
2016,Virgin Radio,923445,335049
2017,Animaux,1550192,937349
2017,ARTE,3001213,1277691
2017,BFM TV,3299401,1860405
2017,Canal+,3154239,890497
2017,Canal+ Sport,2827837,143000
2017,Chérie 25,2548900,1821627
2017,Chérie FM,603424,682856
2017,Chasse et pêche,2198354,220316
2017,Comédie+,1979891,702385
2017,D8/C8,3331969,1250913
2017,Euronews,1760625,812667
2017,Europe 1,3672951,2139501
2017,Eurosport France,4679731,277394
2017,France 2,2936590,1681791
2017,France 24,2907331,2344694
2017,France 3,2928564,1576308
2017,France 5,3100398,1685491
2017,France Bleu,1939682,1240762
2017,France Culture,3516735,1898476
2017,France Info,4255074,1789249
2017,France Inter,3462330,1697410
2017,France Musique,939586,528136
2017,France O,2881288,1438346
2017,Fun Radio,1175760,661222
2017,Histoire,3429669,915665
2017,I-Télé/CNews,4110239,1698544
2017,La chaîne Météo,2250442,453498
2017,LCI,3465760,1646961
2017,LCP/Public Sénat,3584742,1640219
2017,L'Equipe 21,4438813,652357
2017,M6,2426742,1875444
2017,Monte Carlo TMC,2882344,1240334
2017,MOUV,800872,285609
2017,Nostalgie,683452,447428
2017,NRJ,1522709,541056
2017,NRJ 12,2722861,1495559
2017,Paris Première,1795471,500662
2017,Planète+,2168659,421382
2017,Radio Classique,1251131,654619
2017,RFI,3730480,1924682
2017,RFM,710345,386898
2017,Rire et Chansons,3367886,1261534
2017,RMC,5025625,1007353
2017,RTL,3713322,1531739
2017,RTL 2,651895,496730
2017,Skyrock,1786659,332441
2017,Sud Radio,3773661,1822200
2017,TF1,2708483,1667832
2017,Toute l'Histoire,2160917,447107
2017,TV Breizh,1559034,688683
2017,TV5 Monde,1819806,812771
2017,Virgin Radio,1164216,387923
2018,Animaux,1475340,1025229
2018,ARTE,3644717,1648909
2018,BFM TV,4051134,2378788
2018,Canal+,3903869,1132417
2018,Canal+ Sport,2821296,152801
2018,Chérie 25,3239355,2158110
2018,Chérie FM,876743,955190
2018,Chasse et pêche,2123557,283406
2018,Comédie+,1701818,673933
2018,D8/C8,3344682,1325161
2018,Euronews,1739715,932314
2018,Europe 1,5284850,3400503
2018,Eurosport France,5811847,345910
2018,France 2,3637346,2158695
2018,France 24,3443256,2932039
2018,France 3,3577804,1958291
2018,France 5,3729215,2106030
2018,France Bleu,3309778,1914799
2018,France Culture,5405513,2873497
2018,France Info,6356534,2754391
2018,France Inter,5298826,2777497
2018,France Musique,1309027,741329
2018,France O,3602585,1948950
2018,Fun Radio,1856743,1006428
2018,Histoire,4380170,1392884
2018,I-Télé/CNews,4226739,1848872
2018,La chaîne Météo,2560124,423789
2018,LCI,4462926,2069402
2018,LCP/Public Sénat,4382989,2294151
2018,L'Equipe 21,5671218,842674
2018,M6,3176943,2319156
2018,Monte Carlo TMC,3445870,1598118
2018,MOUV,1233653,363318
2018,Nostalgie,1125379,669486
2018,NRJ,2289361,788176
2018,NRJ 12,3438300,1877137
2018,Paris Première,1694535,526530
2018,Planète+,2013791,475149
2018,Radio Classique,1594247,910651
2018,RFI,6046376,2998556
2018,RFM,1155814,617332
2018,Rire et Chansons,4839996,1719466
2018,RMC,7935539,1577283
